ph,Solids,Chloramines,Sulfate,Trihalomethanes,Turbidity,Potability
7.75,836.55,2.37,305.55,71.27,1.85,1
8.35,603.35,1.19,410.2,75.46,1.59,1
8.0,797.79,2.29,477.91,39.75,3.62,1
6.77,0.0,2.35,533.32,32.3,1.04,1
7.01,905.19,1.95,261.79,41.64,2.26,1
8.05,297.77,2.12,177.64,68.88,5.14,1
6.52,881.26,2.75,124.03,27.87,4.71,1
8.41,585.55,0.82,363.92,55.33,3.37,1
7.99,566.87,2.45,331.73,15.25,0.0,1
7.32,653.59,1.18,388.99,86.93,4.87,1
7.21,469.47,0.07,444.33,0.0,2.56,1
7.13,644.7,0.24,347.91,69.59,0.75,1
7.03,205.88,1.07,444.18,66.09,0.0,1
7.2,640.87,0.83,302.18,15.99,1.21,1
7.5,446.42,2.18,289.92,106.51,0.17,1
7.75,206.62,1.65,484.83,0.0,2.19,1
8.22,183.7,0.38,331.77,40.64,0.84,1
8.0,478.33,2.87,358.42,36.41,1.28,1
7.36,160.09,1.79,502.91,61.5,3.23,1
8.22,670.95,1.35,130.5,61.57,0.5,1
6.56,76.56,1.03,381.72,64.36,2.08,1
6.77,41.56,1.35,147.7,84.46,4.91,1
7.48,1019.05,2.63,236.81,17.88,3.53,0
6.64,314.08,1.3,377.65,49.56,3.85,1
6.6,495.01,1.54,537.12,47.57,2.05,1
7.49,273.89,1.77,560.09,59.11,0.33,1
6.93,230.42,2.24,311.1,51.73,1.89,1
8.22,432.68,1.8,430.45,43.78,3.23,0
7.75,820.85,0.89,475.42,0.0,4.78,1
7.55,0.0,0.77,421.1,33.77,3.03,1
7.18,734.39,0.58,101.13,22.37,4.11,1
6.9,1039.39,2.13,0.0,21.56,3.95,1
6.32,601.27,0.53,380.55,33.04,3.84,1
6.72,338.65,0.82,483.62,73.1,4.32,1
8.09,193.13,1.76,369.33,40.04,0.76,1
6.74,411.61,1.44,304.01,75.02,0.38,1
7.23,248.09,2.6,420.28,34.13,5.21,1
6.69,830.06,0.59,249.98,44.59,2.07,1
8.04,30.8,0.0,155.19,26.97,1.63,1
6.79,670.77,0.68,376.12,93.6,1.89,1
7.06,679.48,1.55,152.63,73.18,4.04,1
8.27,199.77,0.64,196.45,107.91,0.0,1
7.27,163.87,1.38,341.22,0.0,1.81,1
8.21,798.55,2.77,286.88,90.49,2.13,1
8.05,732.74,1.12,140.45,9.53,0.08,1
7.67,325.38,1.91,23.0,83.83,2.38,1
6.85,957.27,0.62,304.34,1.37,4.75,1
7.6,195.36,1.44,12.2,91.51,0.37,1
7.39,385.2,2.7,399.94,63.26,1.41,1
8.64,126.09,2.66,80.0,58.41,2.58,1
7.37,736.62,1.68,472.46,46.61,2.41,1
7.46,120.98,3.17,210.67,46.92,3.96,1
6.63,247.75,0.92,370.06,8.98,1.99,1
7.4,564.17,0.73,134.9,11.01,0.59,1
7.11,620.05,1.34,153.07,60.58,2.12,1
6.94,896.27,1.59,352.31,17.09,4.0,1
8.12,867.71,2.36,442.73,3.71,1.61,1
7.39,575.18,1.37,173.63,23.09,2.13,1
8.75,113.72,0.0,272.65,35.89,3.68,1
7.54,726.55,1.9,283.29,20.65,2.09,1
7.75,18.12,0.73,188.62,41.84,1.11,1
7.69,343.11,2.36,124.42,88.62,2.09,1
7.88,396.15,0.81,349.73,63.51,4.87,1
6.56,211.4,0.87,74.55,81.13,0.0,1
7.26,243.09,0.19,0.0,1.42,4.51,1
6.94,449.39,0.77,481.58,70.34,1.78,1
7.48,771.5,1.69,53.35,92.12,4.2,1
6.92,301.49,0.8,499.31,78.42,0.52,1
8.18,249.48,0.23,444.33,84.11,3.11,1
6.77,146.66,1.73,222.61,57.8,4.89,1
7.97,500.22,1.98,385.1,103.97,0.34,1
6.7,684.16,0.8,43.9,11.91,4.77,1
8.16,781.53,1.57,299.53,75.97,1.27,1
7.8,146.62,0.29,202.69,70.36,0.65,0
7.01,1110.63,0.39,252.93,74.67,4.2,1
8.33,1050.4,1.25,409.82,43.52,3.47,1
8.32,401.53,0.83,23.52,4.82,0.0,1
8.24,724.74,2.66,459.86,2.42,3.23,1
7.59,707.52,0.88,17.36,59.92,2.27,1
7.09,704.96,2.26,277.58,20.84,5.65,1
6.79,328.02,2.52,114.43,101.59,5.61,1
8.3,696.44,1.17,318.51,2.1,4.14,1
7.67,1133.91,1.71,448.9,95.78,2.68,1
6.84,180.72,1.45,430.29,48.36,4.52,1
8.23,523.06,0.92,12.82,27.97,3.92,1
7.56,179.81,0.53,176.17,37.98,1.51,1
7.64,710.6,3.1,209.87,31.08,4.2,1
7.16,664.44,0.33,315.49,33.24,2.42,1
7.55,9.47,0.92,9.55,29.88,2.17,1
7.11,680.58,2.27,434.77,28.78,0.0,1
6.58,761.26,1.55,496.65,86.25,0.66,1
8.38,95.39,1.39,394.83,66.11,2.49,1
7.37,699.63,1.7,128.13,67.28,3.99,1
7.81,841.71,0.63,190.05,56.97,4.29,1
7.14,413.16,2.45,486.43,30.9,1.15,0
8.12,465.79,0.83,238.16,101.91,3.15,0
6.29,1037.66,0.79,88.42,31.06,1.77,1
7.31,717.16,2.28,0.0,27.3,1.17,1
6.22,395.83,0.71,124.5,27.72,1.35,1
6.34,101.81,2.88,347.55,35.12,3.23,1
8.37,192.66,0.47,384.6,25.84,4.19,1
